B2.1.4  Total Provincial Operating Funding,B2.1.1  Public Library Operating Grant (PLOG),B5.0  Total Operating Expenditures,B4.02.1  Total funds (not including employee benefits),"B4.04  Facilities/Utilities (Costs related to library facility operation, e.g. insurance, rent, lighting, maintenance, etc.)","B4.01.2  Electronic (e.g. electronic subscriptions and other databases, downloadable media, gaming  software, Playaway, DVDs, and e-resources)",P2.2  Resident Households Served,C0.2.T  Total Print Volumes Held,D1.1.1.C  Librarians,"G1.1.2.W  All circulation for E-books, downloadable audio books, music and video ","E7.1  In the space provided, please provide the total, combined square footage of all the facilities in your library system",Actual incidents
"29,146","27,080","2,053,080","1,070,568","54,172","82,355","9,510","36,406",5,529,"25,819",
"297,138","287,316","7,573,056","4,184,152","456,872","284,484","73,719","291,430",7,"5,639","127,387","8,729"
"297,138","287,316","7,573,056","4,184,152","456,872","284,484","73,719","291,430",7,"5,639","127,387",..
"27,922","25,433","338,525","218,339","48,458","2,720","4,685","35,712",0,48,"28,500",941
"27,922","25,433","338,525","218,339","48,458","2,720","4,685","35,712",0,48,"28,500",207
"306,980","286,755","12,318,054","7,069,060","859,892","849,403","98,820","587,032",18,"11,681","155,214",
"16,331","16,260","390,119","220,381","43,462","9,575","5,107","79,701",0,66,"6,894",
"1,887","1,887","6,315",0,0,0,400,0,0,0,0,
"1,390","1,390","1,390",0,0,0,0,0,0,0,0,..
"2,429","2,429","2,429",0,0,0,550,0,0,0,0,
"22,534","21,437","415,866","251,524","51,193",0,"4,937","20,532",0,146,"6,368",
"3,043","3,043","4,927",0,0,0,646,0,0,0,0,..
"283,948","265,865","7,447,774","5,028,214","251,109","564,498","59,777","165,516",13,"4,732","83,243",
"13,599","12,865","184,791","91,479","22,694","2,394","3,806","16,479",1,84,"2,575",
"1,491","1,491","1,491",0,0,0,0,0,0,0,0,
"4,444","2,704","68,583","43,828","8,156",761,466,"10,967",0,16,358,
"8,019","6,238","105,136","58,286","5,959","4,775","1,498","20,103",0,17,"3,012",108
"14,568","14,568","122,168",0,0,0,"4,002",0,0,0,0,
"28,493","26,068","464,503","261,204","22,112","11,674","5,950","15,786",1,164,"4,645",
"93,351","86,591","1,681,354","1,105,378","30,355","39,593","19,684","66,260",2,"1,286","18,013",
"2,331","2,331","5,331",0,0,0,427,0,0,0,0,
"40,880","27,394","1,180,229","762,370","6,116","26,417","9,305","58,877",2,"1,591","13,754",
274,274,274,0,0,0,0,0,0,0,0,
497,497,497,0,0,0,0,0,0,0,0,..
"598,829","580,209","21,665,713","11,346,496","3,233,594","1,150,835","176,859","582,923",57,"27,427","337,866","29,315"
